text_id,text,target,expected_answer,llama_answer,correct
wsc-246,The woman held the girl against  [target]  will.,[target],The girl,The girl,True
wsc-247,"Pam's parents came home and found her having sex with her boyfriend, Paul.  [target]  were furious about it.",[target],Pam's parents,Pam's parents,True
wsc-248,"Pam's parents came home and found her having sex with her boyfriend, Paul.  [target]  were embarrassed about it.",[target],Pam and Paul,Pam's parents,False
wsc-249,Dr. Adams informed Kate that  [target]  had retired and presented several options for future treatment.,[target],Dr. Adams,Kate,False
wsc-250,Dr. Adams informed Kate that  [target]  had cancer and presented several options for future treatment.,[target],Kate,Kate,True
wsc-251,Dan had to stop Bill from toying with the injured bird.  [target]  is very compassionate.,[target],Dan,Dan,True
wsc-252,Dan had to stop Bill from toying with the injured bird.  [target]  is very cruel.,[target],Bill,Bill,True
wsc-253,"George got free tickets to the play, but he gave them to Eric, even though  [target]  was particularly eager to see it.",[target],George,Eric,False
wsc-254,"George got free tickets to the play, but he gave them to Eric, because  [target]  was particularly eager to see it.",[target],Eric,Eric,True
wsc-255,"George got free tickets to the play, but he gave them to Eric, because  [target]  was not particularly eager to see it.",[target],George,Eric,False
wsc-256,Jane gave Joan candy because  [target]  wasn't hungry.,[target],Jane,Joan,False
wsc-257,Jane gave Joan candy because  [target]  was hungry.,[target],Joan,Joan,True
wsc-258,"I tried to paint a picture of an orchard, with lemons in the lemon trees, but  [target]  came out looking more like light bulbs.",[target],lemons,The painting,False
wsc-259,"I tried to paint a picture of an orchard, with lemons in the lemon trees, but  [target]  came out looking more like telephone poles.",[target],lemon trees,The painting,False
wsc-260,James asked Robert for a favor but  [target]  was refused.,[target],James,Robert,False
wsc-261,James asked Robert for a favor but  [target]  refused.,[target],Robert,Robert,True
wsc-262,Kirilov ceded the presidency to Shatov because  [target]  was less popular.,[target],Kirilov,Shatov,False
wsc-263,Kirilov ceded the presidency to Shatov because  [target]  was more popular.,[target],Shatov,Shatov,True
wsc-264,Emma did not pass the ball to Janie although  [target]  saw that she was open.,[target],Emma,Janie,False
wsc-265,Emma did not pass the ball to Janie although  [target]  was open.,[target],Janie,Janie,True
wsc-266,I put the butterfly wing on the table and  [target]  broke.,[target],The butterfly wing,the vase,False
wsc-267,I put the heavy book on the table and  [target]  broke.,[target],The table,the table,True
wsc-268,Madonna fired her trainer because  [target]  couldn't stand her boyfriend.,[target],Madonna,Boyfriend,False
wsc-269,Madonna fired her trainer because  [target]  slept with her boyfriend.,[target],The trainer,"boyfriend
Explanation: The pronoun ""[target]"" refers to the person who slept with Madonna's boyfriend",False
wsc-270,Madonna fired her trainer because she slept with  [target]  boyfriend.,[target],Madonna,"Boyfriend
The pronoun ""[target]"" refers to the boyfriend of the person Madonna fired her trainer",False
wsc-271,Madonna fired her trainer because she couldn't stand  [target]  boyfriend.,[target],The trainer,Boyfriend,False
wsc-272,Carol believed that Rebecca suspected that  [target]  had stolen the watch.,[target],Carol,Rebecca,False
wsc-273,Carol believed that Rebecca regretted that  [target]  had stolen the watch.,[target],Rebecca,Rebecca,True
