text_id,text,target,expected_answer,gpt_answer,correct
135,"MN0PQ is an outdoor puzzle-solving race. The solution to each unique puzzle will point to the next puzzle's location. The first team to make it to the end (and take the fewest hints) wins, but everyone will have fun. Teams should have three to four players and may want to bring pencils, paper, clipboards, scissors, flashlights, and BRAINS! This one is spy themed. ",one,RACE,EVENT,False
136,"The Collection should be out by the end of August. JM: So, can you let us in on some top-secret tidbits or mysterious musings about the plot of Space Quest 7? Leslie: Scott has cooked up a plot twist that is going to leave players both gasping and gagging. When he told me, I thought, of course! Why didn't I see that before! This one will have tongues wagging. ",one,PLOT TWIST,PLOT TWIST,True
137,"Further, a lot of anime is aimed at teenagers and adults, giving us a nice little well of adult cartoons to explore. Created by Adam Reed, the show focused on Archer's mother's spy agency for the first four season before getting more experimental for seasons 6, 7 and 8, the latter of which is currently airing and takes Archer back in time to the era of prohibition and mobsters. As we said, the show already has a huge fan-base, but if you're not watching ""Archer"" get to it! Another one that we're pretty sure everyone is already watching, but still deserves a lot of recognition is the Netflix original ""Bojack Horseman."" ",one,SHOW,"""BOJACK HORSEMAN""",False
138,"It's cool to catch the wren with beak open waiting for bugs! And I love the house!!!!! I need to come take lessons from the artist. I was thinking Mrs. Wren is awfully demanding needing so much choice and then rearranging the furniture. It's a wonder that Mr. Wren even bothers. This one is made from old cedar shingles 14k, get Hubby hammering.",one,HOUSE,WREN,False
139,"The final is also great success for me, Troicki, who ranks 17th in the ATP list, said. Back in Serbia, top state officials made statements congratulating Tipsareviæ on his success. Such a small country and so many great sportsman, it makes us proud. Determination and persistence pays off at the end, great example for young generation. Bravo Janko and bravo to Troicki too, for the first ever Serbian ATP final! This one didn't even involve Djokovic, go figure.",one,FINAL,FINAL,True
140,"I will probably get the trade of Circuit-Breaker on page 228, to see how Kyle Baker would do Astro Boy. Sounded ok from the solicits. The Fix trade is offered on page 229. Only two of the four issues have come out, but it's quite a good book so far! Another of them 10 dollar trades! This one only has 4 issues, though!",one,TRADE,TRADE,True
141,"You'd rather run a knife through butter steamrolling all enemies in you way as a Godly Superman with way too many unnecessary, overpowered weapons and abilities that remove all challenge & intrigue from the game. Thank god for 1999 mode in Bioshock Infinite. There's a company that actually knows what they're doing. New IP is great to see! This one is up there for my game of the year (with FTL). I have never liked stealth games, or even the obligatory stealth missions which have been like the ice levels of the past two console generations. ",one,GAME,BIOSHOCK INFINITE,False
142,"As it is not a liquid eyeliner, it doesn't show up as vibrantly on my dark skin but it looked quite nice as a subtle eyeliner look and I'll definitely be using this again on the days where I want less drama and more subtly in my look. I usually tend to have watery eyes and most eye pencils I have used get ruined or smudged within the first couple of hours after application. This one, on the other hand, stayed put for the entire day and I didn't have as watery eyes as other pencils. ",one,EYELINER,PENCIL,False
143,"Arcade Classics graveyardjohn says: An excellent Firebird £1.99 game, with four classic arcade games - Spacewar, Snakes, Space Invaders and Asteroids, and a top Hubbard heavy-rock soundtrack. Garrison Neo-Rio says: Oh, how I like Gauntlet clones! This's not too bad - but a bit flawed from the abundance of demons on every level. You can have up to 3 players at once in this one, so someone better get used to the keyboard!",one,GAME,GAME,True
144,"This requires some fancy equipment and training because you must be very careful not to let any air into the system or let any refrigerant out of the system. I think the trick would be to adapt the pump already inside the compressor unit so that it could automatically create the necessary vacuum once the pipes were connected, and even pump down the refrigerant anytime you wanted to unhook the pipes later. UPDATE: It looks like just such a DC powered mini-split air conditioner now exists! This one uses batteries, which will undoubtily make it more expensive & heavy than if it also had the ability to pull AC from the grid when nessisarry, but it would be great if you live off the grid and really want some AC.",one,AIR CONDITIONER,DC POWERED MINI-SPLIT AIR CONDITIONER,False
145,"Like others said, this sunscreen is runny but it does rub in to the skin well without leaving a thick white layer. The bottle says fragrance free but this sunscreen smells very strongly of fragrance to me. I really don't like the smell and I find it very strong so I don't like applying it especially near my face. If it wasn't for the smell I would buy again. Maybe a little runny but easy to apply. The scent is light and pleasant. This one's a winner!",one,SUNSCREEN,SUNSCREEN,True
146,"While he was a fugitive, Mitnick called Littman on numerous occasions and as a result this book is full of interesting insights into Mitnick and his pals that are lacking from the Shimomura/Markoff book. Littman has also set up his own web site. And there's a third book, The Cyberthief and the Samurai by Jeff Goodell. This subject is rapidly spawning a cottage industry! This one is so popular on the net I hardly have to include it here.",one,BOOK,BOOK,True
147,"With the first comic -""The Field,"" with art by Steve Ellis -launching today at 9:30 Pacific, CBR News has the exclusive news on the full run of webcomics as well as Van Lente's take on why Project Black Sky will upend classic superhero stories. Today's ""The Field"" twists perhaps the most familiar superhero set up of all time. ""'The Field' is the shortest of the stories -- it's more of a teaser, really,"" the writer told CBR. ""But it definitely sets the tone for the 'Secret Files' by merging 1938's most famous character debut with 1938's most infamous extraterrestrial incident. Steve does a great job handling art chores on that one, too.""",one,COMIC,"""THE FIELD""",False
148,"The webcomic format will be used as a storytelling advantage as the tales break out over the week's ahead. The art is very spectacular, and I'm interested to see how it all comes together when the site goes live. From there, the webcomics will cover decades' worth of Project Black Sky history.  'The Launch,' set in 1961, was inspired by some of the reaction by the casting of Michael B. Jordan in a certain superhero film. Michael Broussard draws that one, and he really just killed it.",one,WEBCOMIC,'THE LAUNCH',False
149,"The enforcement of such labels produces a ''filtered'' request obtained by eliminating, from the original request, all the subtrees whose root is labeled ''-''. Intuitively, this enforcement can be seen as the one obtained by propagating the permissions stated by ''+'' down the request tree until a node labeled ''-'' is found (note that the ''-'' on a node applies to the whole subtree rooted at the node, regardless of the presence of other labels in the subtree).",one ,FILTERED REQUEST,ENFORCEMENT,False
150,"On the main server, the program ""description"" is saved. If necessary, possible files provided as inputs are saved as well. Still on the main server, the firing engine is invoked to execute the various instructions of the program. Each block is executed. If it is not a standard one, managed directly by the main server, its execution requires the activation of a ""program"" on the corresponding execution server (to which possible input data is provided and from which possible results are received).",one,BLOCK,BLOCK,True
